post_text,actionable
Nice update well done team,0
Ticket booked amount debited but no confirmation,1
This app looks clean and modern,0
Nice update well done team,0
Nice update well done team,0
Customer support not responding,1
Nice update well done team,0
Customer support not responding,1
Good morning everyone,0
Account got locked please resolve,1
Facing issue with mobile recharge,1
Great customer service today,0
Technology is changing the world,0
AI will replace many jobs,0
Payment deducted but service not activated,1
Ticket booked amount debited but no confirmation,1
This app looks clean and modern,0
Interesting article on machine learning,0
Order not delivered please check,1
Great customer service today,0
AI will replace many jobs,0
This app looks clean and modern,0
Internet speed is very slow today,1
Love this app great experience,0
Nice update well done team,0
Customer support not responding,1
AI will replace many jobs,0
Amazing service by the team,0
Order not delivered please check,1
AI will replace many jobs,0
Internet speed is very slow today,1
Facing issue with mobile recharge,1
Unable to login need help urgently,1
Amazing service by the team,0
Internet speed is very slow today,1
Interesting article on machine learning,0
Love this app great experience,0
Interesting article on machine learning,0
Internet speed is very slow today,1
Technology is changing the world,0
Payment deducted but service not activated,1
Unable to login need help urgently,1
Account got locked please resolve,1
This app looks clean and modern,0
Order not delivered please check,1
This app looks clean and modern,0
Nice update well done team,0
Internet speed is very slow today,1
Technology is changing the world,0
Good morning everyone,0
Payment deducted but service not activated,1
Account got locked please resolve,1
This app looks clean and modern,0
Great customer service today,0
Technology is changing the world,0
This app looks clean and modern,0
AI will replace many jobs,0
Ticket booked amount debited but no confirmation,1
App keeps crashing after update,1
Ticket booked amount debited but no confirmation,1
Feeling happy using this product,0
Account got locked please resolve,1
Facing issue with mobile recharge,1
AI will replace many jobs,0
Account got locked please resolve,1
Interesting article on machine learning,0
Love this app great experience,0
Interesting article on machine learning,0
Facing issue with mobile recharge,1
Feeling happy using this product,0
Facing issue with mobile recharge,1
Love this app great experience,0
Nice update well done team,0
Customer support not responding,1
Nice update well done team,0
My internet is not working since morning,1
Great customer service today,0
Ticket booked amount debited but no confirmation,1
Love this app great experience,0
Nice update well done team,0
Love this app great experience,0
Customer support not responding,1
Love this app great experience,0
Order not delivered please check,1
Account got locked please resolve,1
Ticket booked amount debited but no confirmation,1
Internet speed is very slow today,1
Feeling happy using this product,0
AI will replace many jobs,0
Customer support not responding,1
My internet is not working since morning,1
Feeling happy using this product,0
Payment deducted but service not activated,1
App keeps crashing after update,1
Technology is changing the world,0
App keeps crashing after update,1
App keeps crashing after update,1
Internet speed is very slow today,1
Amazing service by the team,0
Facing issue with mobile recharge,1
This app looks clean and modern,0
Account got locked please resolve,1
Great customer service today,0
App keeps crashing after update,1
Order not delivered please check,1
Unable to login need help urgently,1
Ticket booked amount debited but no confirmation,1
Technology is changing the world,0
Payment deducted but service not activated,1
Customer support not responding,1
Internet speed is very slow today,1
My internet is not working since morning,1
Feeling happy using this product,0
Payment deducted but service not activated,1
Interesting article on machine learning,0
Order not delivered please check,1
Amazing service by the team,0
Technology is changing the world,0
Facing issue with mobile recharge,1
AI will replace many jobs,0
Good morning everyone,0
Nice update well done team,0
Ticket booked amount debited but no confirmation,1
My internet is not working since morning,1
Payment deducted but service not activated,1
Customer support not responding,1
Feeling happy using this product,0
Payment deducted but service not activated,1
Order not delivered please check,1
Love this app great experience,0
My internet is not working since morning,1
Technology is changing the world,0
My internet is not working since morning,1
